,Time,User,Tweet,RetweetCount,LikeCount,TweetID,Geo,q0_label,q1_label,q2_label,q4_label
0,Fri Jul 29 17:41:04 +0000 2022,APFactCheck,Social media posts have claimed without evidence that COVID-19 vaccines were to blame for the recent deaths of three doctors in Canada. Two of the doctors had cancer and the third was seriously ill before his death. Here are the facts. https://t.co/oGuZEajlq9,500,750,1.55E+18,,yes,yes,no,no
1,Fri Jul 29 16:28:31 +0000 2022,APFactCheck,"False claims spread online this week centered on a Jan. 6 conspiracy theory, the science around climate change and Russia's relationship with the World Health Organization. Get the facts. https://t.co/vLPCOAvYww",12,30,1.55E+18,,,,,
2,Thu Jul 28 22:43:52 +0000 2022,APFactCheck,"A video of a helicopter blasting trees with fire shows a planned burn used to ward off future wildfires, not arson as online posts imply. @AP has the facts. https://t.co/x3bUYDfe43",6,16,1.55E+18,,,,,
3,Thu Jul 28 22:38:05 +0000 2022,APFactCheck,Social media users are sharing an image that falsely purports to show a headline on an Irish news site making outlandish claims about the spread of monkeypox. The headline has been fabricated. @AP has the facts. https://t.co/042XGCn8hq,17,14,1.55E+18,,,,,
4,Wed Jul 27 21:41:12 +0000 2022,APFactCheck,"A manipulated video circulating on social media twists Kenya Deputy President William Ruto’s words. The original interview shows Ruto said he grew his career from “nothing,” not from “corruption.” https://t.co/SMMscpD9BD",21,34,1.55E+18,,,,,
5,Wed Jul 27 20:59:09 +0000 2022,APFactCheck,"Twitter users are sharing a fabricated People magazine headline to spread the false claim that Klondike’s Choco Taco was discontinued due to ""cultural appropriation"" concerns. The outlet confirms the image is fake. Here are the facts. https://t.co/JqgeonflK6",353,986,1.55E+18,,no,,,
6,Wed Jul 27 20:36:43 +0000 2022,APFactCheck,"At least two Michigan TV stations inadvertently published mock election data while conducting system tests ahead of the August primary. The randomly generated numbers were not real election results, nor are they an indication of fraud. Here are the facts. https://t.co/A22GNtYLUh",10,18,1.55E+18,,,,,
7,Wed Jul 27 19:15:17 +0000 2022,APFactCheck,"The World Health Organization continues to operate offices in Moscow, despite a false claim spreading online that Russia “expelled” the WHO and closed its offices in the capital. Here are the facts. https://t.co/Dgc0B9ETdN",7,9,1.55E+18,,,,,
8,Mon Jul 25 22:50:11 +0000 2022,APFactCheck,"The Freedom of Information Act does not apply to Congress, contrary to a baseless claim spreading online that such a request revealed details of phone conversations with Nancy Pelosi’s office ahead of Jan. 6. https://t.co/fnUN8wNxAD",13,18,1.55E+18,,,,,
9,Mon Jul 25 00:23:52 +0000 2022,APFactCheck,Social media users are spreading a 2014 video of the now-deceased co-founder of The Weather Channel falsely claiming that climate change is “baloney.” The scientific consensus is that climate change is real and is caused by human activity. https://t.co/hSWrEgcgEa,22,58,1.55E+18,,no,,,
10,Sat Jul 23 23:44:51 +0000 2022,APFactCheck,"COVID-19 vaccines don’t contain the motion sickness drug scopolamine, experts and officials confirm. The false claim emerged from a parody website but was shared as real by social media users. Get the facts @AP. https://t.co/KzodIXsj34",76,146,1.55E+18,,,,,
